gvkey,year,lobbying,elobbying,green_lobbying,brown_lobbying
001382,2010,160000,0,0,0
001382,2011,160000,0,0,0
001382,2012,670000,0,0,0
001408,2008,150000,8571.428571428571,8571.428571428571,0
001408,2009,640000,267142.8571428571,67142.85714285713,175000
001408,2010,2030000,699000,176000,0
001408,2011,1370000,317000,0,0
001408,2012,1390000,396666.6666666666,0,0
001408,2013,1492000,430666.6666666666,0,0
001410,2010,50000,50000,0,0
001414,2012,230000,0,0,0
001414,2013,1335000,0,0,0
001414,2014,1405000,0,0,0
001414,2015,2000000,302500,0,0
001414,2016,1220000,0,0,0
001414,2017,1675000,0,0,0
001414,2018,1900000,0,0,0
001414,2019,1730000,60000,0,60000
001414,2020,1730000,120000,0,120000
001439,1999,65000,65000,0,65000
001439,2000,60000,45000,0,45000
001439,2001,50000,50000,0,10000
001439,2002,90000,90000,0,0
001439,2003,65000,65000,0,0
001439,2004,85000,85000,0,0
001439,2005,80000,80000,0,0
001439,2006,160000,160000,0,0
001439,2007,65000,65000,0,0
001439,2008,5000,5000,0,5000
001439,2009,12500,12500,12500,0
001439,2014,60000,40000,0,0
001439,2015,80000,53333.33333333333,0,0
001439,2016,80000,53333.33333333333,0,0
001439,2017,80000,53333.33333333333,0,0
001439,2018,80000,53333.33333333333,0,0
001439,2019,80000,53333.33333333333,0,0
001439,2020,150000,100000,0,0
001440,1999,605000,70000,0,10000
001440,2000,641287,292016.4444444444,25000,10000
001440,2001,1959544,913130.6666666667,0,80000
001440,2002,1762422,876632,20000,139000
001440,2003,965000,386000,0,0
001440,2004,469000,207266.6666666667,0,0
001440,2005,1176000,862327.2727272727,20000,30000
001440,2006,920000,456111.1111111111,5000,80000
001440,2007,2345000,1370000,405000,40000
001440,2008,12453938,5044202.573232323,415000,0
001440,2009,7847245,4321017.5,290000,0
001440,2010,10983196,7354548.160714285,420000,0
001440,2011,11114591,5263082.905555556,500000,46666.66666666666
001440,2012,8014135,4677000.767857143,265000,100000
001440,2013,7831485,5560216.023809524,175000,140000
001440,2014,6786567,5016889.333333333,150000,125000
001440,2015,6279767,4152736.5,250000,120000
001440,2016,6206102,3616884,160000,120000
001440,2017,6791387,4400670.714285715,210000,2147937.714285714
001440,2018,6987554,3683224.628571428,130000,3503224.628571428
001440,2019,8748979,3976918.014285714,0,2149353.7
001440,2020,8010707,4271853.404761905,25000,30000
001447,1999,1575000,0,0,0
001447,2000,2510000,1000,0,0
001447,2001,1465000,0,0,0
001447,2002,1435000,0,0,0
001447,2003,1670000,0,0,0
001447,2004,1960000,0,0,0
001447,2005,2440000,62500,0,0
001447,2006,2780000,0,0,0
001447,2007,3560000,0,0,0
001447,2008,5250000,743214.2857142857,0,0
001447,2009,4365000,358333.3333333333,0,1666.666666666667
001447,2010,3185000,452261.9047619047,16666.66666666666,0
001447,2011,3080000,636785.7142857142,0,0
001447,2012,2800000,318750,0,0
001447,2013,1960000,225416.6666666667,0,0
001447,2014,2620000,357500,0,0
001447,2015,2140000,459166.6666666666,0,0
001447,2016,1870000,161666.6666666667,0,0
001447,2017,1810000,0,0,0
001447,2018,2030000,194333.3333333333,0,0
001447,2019,1830000,105000,0,0
001447,2020,1700000,85000,0,0
001449,1999,1957000,0,0,0
001449,2000,2160008,0,0,0
001449,2001,1598000,0,0,0
001449,2002,3740000,0,0,0
001449,2003,2940000,0,0,0
001449,2004,6040000,0,0,0
001449,2005,5685000,0,0,0
001449,2006,5960000,0,0,0
001449,2007,6245000,0,0,0
001449,2008,5110000,701888.8888888888,0,0
001449,2009,6720000,1043750,0,0
001449,2010,7175000,2598750,0,0
001449,2011,6054000,2334000,0,0
001449,2012,7422000,2928000,0,0
001449,2013,5634500,2259000,0,0
001449,2014,4715000,1510000,0,0
001449,2015,5140000,854000,0,0
001449,2016,5150000,0,0,0
001449,2017,5800000,0,0,0
001449,2018,6305000,0,0,0
001449,2019,7110000,0,0,0
001449,2020,8400000,0,0,0
001465,1999,570000,0,0,0
001465,2000,545000,0,0,0
001478,1999,2705000,510000,8000,10000
001478,2000,4092551,509672.3333333333,0,0
001478,2001,4305000,0,0,0
001478,2002,4889375,459375,0,0
001478,2003,3740000,0,0,0
001478,2004,4985000,0,0,0
001478,2005,4564000,0,0,0
001478,2006,4269000,0,0,0
001478,2007,2330000,0,0,0
001478,2008,3557568,0,0,0
001487,1999,4325000,570833.3333333333,0,2500
001487,2000,1990000,0,0,0
001487,2001,3780000,0,0,0
001487,2002,6686000,344000,0,0
001487,2003,7269300,0,0,0
001487,2004,8395000,0,0,0
001487,2005,9192000,0,0,0
001487,2006,9882000,0,0,0
001487,2007,11624000,300000,0,300000
001487,2008,10340000,2122000,0,220000
001487,2009,2270000,0,0,0
001487,2012,120000,0,0,0
001487,2013,145000,0,0,0
001487,2014,140000,0,0,0
001487,2015,1635000,0,0,0
001487,2016,1150000,0,0,0
001487,2017,1430000,0,0,0
001487,2018,1670000,0,0,0
001487,2019,1960000,95000,0,0
001487,2020,2060000,0,0,0
001500,1999,105000,10000,0,0
001500,2000,340000,42000,0,12000
001500,2001,200000,20000,0,0
001500,2002,458000,11666.66666666667,0,0
001500,2003,240000,0,0,0
001533,1999,20000,20000,20000,0
001533,2000,20000,20000,20000,0
001533,2001,20000,10000,10000,0
001533,2002,170000,30000,30000,0
001533,2003,520000,40000,40000,0
001533,2004,560000,120000,80000,0
001533,2005,485000,110000,45000,0
001533,2006,210000,100000,60000,0
001533,2007,280000,207500,122500,0
001533,2008,370000,285000,80000,85000
001533,2009,485000,326666.6666666667,115000,91666.66666666666
001533,2010,280000,233333.3333333333,80000,23333.33333333333
001533,2011,140000,140000,40000,0
001533,2012,50000,50000,20000,0
001533,2013,80000,80000,20000,0
001554,1999,40000,0,0,0
001554,2000,40000,0,0,0
001554,2001,40000,0,0,0
001554,2002,140000,0,0,0
001554,2003,170000,0,0,0
001554,2004,175000,0,0,0
001554,2005,240000,0,0,0
001554,2006,360000,0,0,0
001554,2007,526000,0,0,0
001554,2008,550000,0,0,0
001554,2009,450000,0,0,0
001554,2010,440000,0,0,0
001554,2011,390000,0,0,0
001554,2012,390000,0,0,0
001554,2013,440000,0,0,0
001554,2014,440000,0,0,0
001554,2015,410000,75000,0,0
001554,2016,180000,0,0,0
001559,2013,45000,0,0,0
001567,1999,560000,0,0,0
001567,2000,40000,0,0,0
001567,2001,200000,0,0,0
001567,2004,20000,20000,0,0
001581,2001,14540000,0,0,0
001581,2002,12190000,37291.66666666666,36666.66666666666,0
001581,2003,12700000,0,0,0
001581,2004,11624389,0,0,0
001587,1999,300000,35000,0,0
001587,2000,305000,13333.33333333333,0,0
001587,2001,160000,70000,0,0
001598,2003,40000,0,0,0
001598,2004,40000,0,0,0
001598,2005,25000,0,0,0
001598,2006,25000,0,0,0
001598,2007,235500,0,0,0
001598,2008,165000,0,0,0
001598,2009,20000,0,0,0
001598,2010,70000,0,0,0
001598,2011,45000,0,0,0
001602,1999,4510000,0,0,0
001602,2000,4450000,54666.66666666666,0,0
001602,2001,5000000,0,0,0
001602,2002,4790299,0,0,0
001602,2003,8078508,0,0,0
001602,2004,7141464,0,0,0
001602,2005,8823614,0,0,0
001602,2006,15715000,0,0,0
001602,2007,24645500,0,0,0
001602,2008,16025000,742500,592500,0
001602,2009,18185000,220000,100000,0
001602,2010,14985000,1377500,0,0
001602,2011,14890000,550000,0,0
001602,2012,13870000,1190000,0,0
001602,2013,13290000,16000,0,0
001602,2014,12702500,539166.6666666666,0,0
001602,2015,14825493,0,0,0
001602,2016,14272500,0,0,0
001602,2017,15205000,170000,0,80000
001602,2018,15680000,0,0,0
001602,2019,15785000,2116000,0,0
001602,2020,16112000,60000,0,60000
001611,2011,30000,30000,0,0
001613,2008,30000,0,0,0
001619,1999,140000,0,0,0
001619,2000,80000,0,0,0
001619,2001,80000,0,0,0
001619,2002,125000,0,0,0
001619,2003,90000,0,0,0
001619,2004,80000,0,0,0
001619,2005,80000,0,0,0
001632,2002,40000,0,0,0
001632,2003,5000,0,0,0
001632,2004,5000,0,0,0
001632,2005,10000,0,0,0
001633,2006,160000,0,0,0
001633,2007,200000,0,0,0
001633,2008,200000,0,0,0
001633,2009,160000,0,0,0
001633,2010,20000,0,0,0
001633,2015,40000,0,0,0
001633,2016,60000,0,0,0
001633,2017,130000,0,0,0
001641,2002,65000,0,0,0
001651,1999,10000,0,0,0
001651,2000,5000,0,0,0
001659,1999,60000,0,0,0
001659,2000,40000,0,0,0
001659,2001,15000,0,0,0
001659,2002,40000,0,0,0
001659,2003,25000,0,0,0
001659,2004,10000,0,0,0
001659,2005,15000,0,0,0
001659,2006,15000,0,0,0
001659,2007,10000,0,0,0
001659,2008,35000,2500,0,0
001659,2009,70000,0,0,0
001659,2010,65000,7500,0,0
001659,2011,65000,30833.33333333333,0,0
001659,2012,50000,29166.66666666666,0,0
001659,2019,50000,0,0,0
001659,2020,80000,0,0,0
001663,1999,3044000,80000,0,0
001663,2000,3410000,0,0,0
001663,2001,2949815,0,0,0
001663,2002,2884048,105704.7183908046,0,0
001663,2003,2753578,46666.66666666666,0,0
001663,2004,2386752,72326.33333333333,0,0
001663,2005,4452213,100939.4615384615,0,0
001663,2006,4659000,626136.3636363636,20000,0
001663,2007,4780000,448000,0,60000
001678,1999,120000,120000,0,0
001678,2000,60000,60000,0,0
001678,2001,120000,120000,0,0
001678,2002,80000,80000,0,0
001678,2003,40000,40000,0,0
001678,2004,5000,5000,0,0
001678,2006,15000,15000,0,0
001678,2007,10000,10000,0,0
001678,2008,190000,99666.66666666666,0,0
001678,2009,520000,246904.7619047619,0,0
001678,2010,1310000,882307.6923076923,0,0
001678,2011,1650000,372500,0,0
001678,2012,2360000,1040000,0,470000
001678,2013,2380000,230000,0,0
001678,2014,500000,0,0,0
001678,2015,290000,290000,30000,260000
001678,2016,120000,120000,120000,0
001678,2017,120000,120000,120000,0
001678,2018,120000,120000,120000,0
001678,2019,120000,120000,120000,0
001678,2020,60000,60000,60000,0
001690,1999,190000,0,0,0
001690,2000,410000,0,0,0
001690,2001,795000,52888.88888888889,0,0
001690,2002,690000,53429.29292929293,0,0
001690,2003,703008,0,0,0
001690,2004,925000,0,0,0
001690,2005,1010000,0,0,0
001690,2006,2220000,83333.33333333333,0,83333.33333333333
001690,2007,320000,0,0,0
001690,2008,240000,180000,0,0
001690,2009,240000,0,0,0
001690,2010,320000,0,0,0
001690,2011,540000,0,0,0
001690,2012,650000,0,0,0
001690,2013,810000,0,0,0
001690,2014,920000,80000,0,0
001690,2015,1190000,0,0,0
001690,2016,890000,0,0,0
001690,2017,1170000,0,0,0
001690,2018,950000,0,0,0
001690,2019,1160000,0,0,0
001690,2020,1720000,0,0,0
001704,1999,80000,0,0,0
001704,2000,260000,0,0,0
001704,2001,380000,0,0,0
001704,2002,656829,0,0,0
001704,2003,630000,0,0,0
001704,2004,910000,0,0,0
001704,2005,1060000,80000,80000,0
001704,2006,625000,0,0,0
001704,2007,770000,159285.7142857143,0,0
001704,2008,864310,430467.3333333333,45000,0
001704,2009,1665000,1029000,200000,0
001704,2010,2490000,1307000,5000,0
001704,2011,2765000,1340666.666666667,0,0
001704,2012,2480000,973166.6666666667,13333.33333333333,0
001704,2013,2000000,650952.3809523809,0,0
001704,2014,1560000,448928.5714285714,0,0
001704,2015,1500000,492500,0,180000
001704,2016,900000,286666.6666666666,0,100000
001704,2017,1110000,0,0,0
001704,2018,1255000,0,0,0
001704,2019,1280000,0,0,0
001704,2020,1570000,0,0,0
001722,2006,300000,150000,0,150000
001722,2007,1620000,1080000,186666.6666666666,893333.3333333333
001722,2008,2290000,1368333.333333333,53333.33333333333,1235000
001722,2009,1470000,572666.6666666666,0,496000
001722,2010,1550000,605333.3333333333,36666.66666666666,532000
001722,2011,2080000,806666.6666666666,66666.66666666666,680000
001722,2012,1480000,550000.0000000001,10000,520000
001722,2013,1930000,643333.3333333333,0,596666.6666666666
001722,2014,1715000,525535.7142857142,0,507619.0476190476
001722,2015,1920000,529464.2857142857,0,383571.4285714286
001722,2016,1800000,465000,0,465000
001722,2017,1720000,430000,0,297500
001722,2018,2250000,613928.5714285714,0,0
001722,2019,2140000,611428.5714285714,0,0
001722,2020,1940000,554285.7142857143,0,0
001743,2001,90000,0,0,0
001743,2013,30000,0,0,0
001743,2017,130000,0,0,0
001743,2018,160000,0,0,0
001743,2019,160000,0,0,0
001743,2020,160000,0,0,0
001762,1999,200000,32380.95238095238,5714.285714285714,0
001762,2000,5000,0,0,0
001773,2002,10000,10000,10000,0
001773,2020,15000,0,0,0
001794,1999,560000,142777.7777777778,0,0
001794,2000,960000,262500,0,0
001794,2001,1240000,233939.3939393939,0,0
001794,2002,1255000,199615.3846153846,0,0
001794,2003,1200000,189333.3333333333,0,0
001794,2004,640000,134666.6666666667,0,0
001794,2005,1004000,200888.8888888889,0,0
001794,2006,962000,280444.4444444444,0,0
001794,2007,985000,347142.8571428572,0,145714.2857142857
001794,2008,520000,151785.7142857143,0,151785.7142857143
001794,2009,915000,55000,0,20000
001794,2010,800000,166250,0,40000
001794,2011,602000,178166.6666666667,0,0
001794,2012,365000,83214.28571428571,0,0
001794,2013,285000,67750,0,0
001794,2014,385000,43750,0,0
001794,2015,371000,84550,0,0
001794,2016,140000,46666.66666666666,0,0
001794,2018,127000,42333.33333333333,0,42333.33333333333
001831,1999,420000,0,0,0
001837,2009,80000,80000,0,0
001837,2012,160000,40000,0,0
001848,1999,3915400,1706844.444444444,0,0
001864,2012,40000,40000,0,0
001864,2013,10000,10000,0,0
001864,2014,20000,20000,0,15000
001878,1999,260000,0,0,0
001878,2000,380000,0,0,0
001878,2001,265000,0,0,0
001878,2002,420000,0,0,0
001878,2003,380000,0,0,0
001878,2004,420000,0,0,0
001878,2005,520000,0,0,0
001878,2006,400000,0,0,0
001878,2007,440000,440000,440000,0
001878,2008,345000,0,0,0
001878,2009,880000,385000,385000,0
001878,2010,890000,180000,180000,0
001878,2011,970000,320000,135000,0
001878,2012,665000,50000,0,50000
001878,2013,495000,48666.66666666666,48666.66666666666,0
001878,2014,390000,0,0,0
001878,2015,480000,36000,36000,0
001878,2016,415000,150000,150000,0
001878,2017,410000,132500,132500,0
001878,2018,680000,118500,118500,0
001878,2019,625000,120000,120000,0
001878,2020,800000,156666.6666666667,42000,0
001891,1999,160000,0,0,0
001891,2000,200000,0,0,0
001891,2001,80000,0,0,0
001891,2002,40000,0,0,0
001891,2003,60000,0,0,0
001891,2004,340000,0,0,0
001891,2005,80000,0,0,0
001891,2006,60000,0,0,0
001891,2007,140000,0,0,0
001891,2008,70000,0,0,0
001891,2009,165000,0,0,0
001891,2010,260000,0,0,0
001891,2011,470000,0,0,0
001891,2012,420000,0,0,0
001891,2013,240000,0,0,0
001891,2014,240000,0,0,0
001891,2015,240000,0,0,0
001891,2016,220000,0,0,0
001902,1999,40000,0,0,0
001902,2000,80000,0,0,0
001902,2001,5000,0,0,0
001902,2002,10000,0,0,0
001902,2003,25000,0,0,0
001902,2004,5000,0,0,0
001902,2005,45000,0,0,0
001902,2006,40000,0,0,0
001913,2004,95000,0,0,0
001913,2005,50000,0,0,0
001913,2006,128000,0,0,0
001913,2007,120000,0,0,0
001913,2008,117500,0,0,0
001913,2009,245000,0,0,0
001913,2010,425000,0,0,0
001913,2011,320000,0,0,0
001913,2012,35000,0,0,0
001919,2008,5000,0,0,0
001919,2009,15000,0,0,0
001920,1999,15000,0,0,0
001920,2000,10000,0,0,0
001920,2001,15000,0,0,0
001920,2002,110000,50000,0,50000
001920,2003,105000,45000,0,45000
001920,2004,130000,60000,0,60000
001920,2005,120000,55000,0,55000
001920,2006,115000,55000,0,55000
001920,2007,140000,40000,0,40000
001920,2008,125000,0,0,0
001920,2009,55000,0,0,0
001920,2010,65000,0,0,0
001920,2011,60000,0,0,0
001920,2015,70000,0,0,0
001974,2001,30000,7500,0,7500
001974,2002,100000,25000,0,25000
